,title,name
338,Васильки,restoran.vasilki
339,Cofix,cofix_belarus
340,Кофе профиль,Coffeeprofil
341,Coffee Line,coffee_line.by
342,План Б,planb.bar.karaoke
343,Yummy Coffee to Go,yummy.coffee
344,Papa John's Pizza,papajohnsby
345,Doner King,donerking.by
346,The Coffee Room,thecoffeeroom_minsk
347,Академия,restaurant_akademiya_minsk
348,MixShop,mixshop.minsk
349,KFC,kfcbyofficial
350,Версаль,cafe_versailles
351,Квартира № 3,kvartira_3
352,Freak Shake,freakshake_minsk
353,Ю кофе,youcoffeeby
354,Кофейная кухня,coffeekuhnia
355,Блэк Бутчер,blackbutcher.by
356,Wake Up Coffee,wakeup_coffee
357,Lidbeer bar Светлы,lidbeerbar
358,Лидо,restaurant_lido
359,Старые традиции,starie_tradicii
360,Станция,coffee_metro_minsk
361,Coffee Joy,coffee_joy
362,PizzaRest,pizzarest_minsk
363,Съем Сам,siem_sam
364,Чёпечём бай,4epe4em
365,Пекаридзе,Pekaridze.minsk
366,Жбан,zhbankafe
367,Гвоздь,pubgvozd
368,Lidbeer bar Тёмный,lidbeerbar
369,Coven Coffee House,coven.by
370,Clever Irish Pub,cleverminsk
371,Рибро,rib_raw
372,Эклер,eklaircoffee
373,Hotfix coffee,hotfixcafe
374,Кофе Место,coffee_mesto
375,Зерно,cafezerno
376,Prisma Eventplace,prisma.minsk
377,Зерно,cafezerno
378,Штолле,stolle_minsk
379,Мука,Myka.cafe
380,Veg Harmony,veg.harmony.cafe
381,Seadog&Friends,seadogfriends
382,Перспектива,perspective.coffee
383,Animal Farm,animalfarm_minsk
384,Мини-кафе,unity_coffee_minsk
385,Charlie,charlierestbar
386,Coffee Wanted,coffeewanted.by
387,Скиф,skifcafe
388,Fresh Cafe,Freshcafe_minsk
389,Пробар-Коммунарка,kommunarka_probar
390,Bierkeller,bierkeller_minsk
391,Золотой Гребешок,zg_pobedy
392,Rivoli,cafe.rivoli
393,Берёзка,berezka_minsk
394,Coffee Embassy,coffee_embassy_msq
395,Moby Dick,mobydick_caffe
396,Камяніца,kamyanitsa.by
397,Burger King,burgerkingbelarus
398,Додо Пицца,dodopizza.minsk
399,Товарищ,tovarisch_cafe
400,Патриот,patriot_bar_minsk
401,Union Coffee,unioncoffee
402,Кухмистр,kuhmistr
403,Перестройка,perestroikabar
404,Станция,coffee_metro_minsk
405,ИльПатио,il_patio_minsk
406,TGI FRIDAYS,fridays_minsk
407,Свои,restoransvoi
408,Шоколадница,shoko_minsk
409,Daily Dose,daily_dose_minsk
410,Шоколадница,shoko_minsk
411,Кафе-пироговая Штолле,stolle_minsk
412,Mona bistro,monabistro.minsk
413,Honky Tonk,honkytonkminsk
414,Полугар бар,polugarbarminsk
415,Paul,paul.belarus
416,Чайный пьяница,ig_profile_share
417,Т.Н.Е Бургер,t.h.e_burger
418,Нора,nora25a
419,La Piazza,lapiazza.minsk
420,Т.Н.Е Бургер,t.h.e_burger
421,Чернила,chernila.bar
422,Брют,brut_cafe
423,Maslow6,maslow6_minsk
424,Хинкальня,hinkalnyaminsk
425,Рестопаб Госцi,gosti_restopub
426,Пена Дней,bistro.mood.indigo
427,Doner King,donerking.by
428,Перспектива,perspectiva.coffee
429,Lugano,lugano_restaurant
430,Mad Rabbit,mad.rabbit.bar
431,Гримерка,grimerka_bar
432,Don Coffe'on,doncoffeon
433,Туманы,bartumany
434,Coffeeberry,coffeeberry_by
435,ZAVTRAKI 24,zavtraki24
436,Лес,les_gastrobar
437,Leone,leone_msq
438,The Moods,themoodsminsk
439,На Пляже,na.plyazhe
440,Malt & Hops,maltandhops
441,Bun Burger,bunb.by
442,Депо,depomiensk
443,Чердак,cherdakbar_minsk
444,Draniki,draniki_rest
445,Svobody. 4,svobody.4
446,Гамбринус,gambrinusminsk
447,Бессонница,bar_insomnia
448,Stories,Stories_minsk
449,Darling bistro bar,darling.minsk
450,Blasercafe,blasercafe.by
451,Время,vremyabar
452,Дом,dom.rest
453,Umami Neobistro,umami.neobistro
454,Моя дорогая,dorogaya2002
455,Grand,grand_cafe_minsk
